*Soil Inorganic Nitrogen daily output file

*DSSAT Cropping System Model Ver. 4.6.1.000 -release      APR 22, 2019; 09:45:14
                                                                                
*RUN   1        : Sim1                      MZCER046 UINT1601    1              
 MODEL          : MZCER046 - Maize                                              
 EXPERIMENT     : UINT1601 MZ N TRACK                                           
 DATA PATH      :                                                               
 TREATMENT  1   : Sim1                      MZCER046                            
  
!                                                            NO3 (ppm) by soil depth (cm):                                   NH4 (ppm) by soil depth (cm):
!                                                            0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150     0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150
@YEAR DOY   DAS  NAPC  NI#M    NLCC   NIAD   NITD   NHTD    NI1D    NI2D    NI3D    NI4D    NI5D    NI6D    NI7D    NI8D    NH1D    NH2D    NH3D    NH4D    NH5D    NH6D    NH7D    NH8D    NMNC    NITC    NDNC    NIMC    AMLC   NNMNC    NUCM
 2017 169   220     0     1    34.1  112.4  111.8    0.6    4.00    4.60    4.82    5.13    5.00    4.97    4.93    5.03    0.14    0.22    0.04    0.02    0.01    0.01    0.00    0.00   39.54  107.55   11.75   28.15    0.00   11.40    6.22
 2017 170   221     0     1    34.1  111.5  110.8    0.7    3.09    4.18    4.71    5.33    5.04    4.96    4.92    5.02    0.19    0.26    0.04    0.02    0.01    0.01    0.00    0.00   39.80  107.61   11.75   28.24    0.00   11.56    7.36
 2017 171   222     0     1    34.1  110.9  110.1    0.8    3.29    4.03    4.60    5.19    5.07    4.95    4.91    5.01    0.24    0.29    0.04    0.02    0.01    0.01    0.00    0.00   40.05  107.68   11.75   28.34    0.00   11.72    8.07
 2017 172   223     0     1    34.1  110.4  109.5    0.9    3.47    3.89    4.50    5.07    5.09    4.94    4.90    5.01    0.27    0.32    0.05    0.02    0.01    0.01    0.00    0.00   40.29  107.75   11.77   28.42    0.00   11.87    8.70
 2017 173   224     0     1    34.1  109.6  108.7    0.9    3.27    3.87    4.36    4.94    5.09    4.94    4.89    5.00    0.31    0.35    0.05    0.02    0.01    0.01    0.00    0.00   40.53  107.83   11.87   28.51    0.00   12.02    9.53
 2017 174   225     0     1    34.1  108.8  107.8    1.0    3.43    3.72    4.17    4.73    5.00    5.00    4.89    4.99    0.33    0.38    0.05    0.02    0.01    0.01    0.00    0.00   40.72  107.90   12.01   28.57    0.00   12.15   10.36
 2017 175   226     0     1    34.1  107.6  106.6    1.1    2.36    3.36    4.15    4.85    4.99    5.00    4.88    4.99    0.36    0.40    0.05    0.02    0.01    0.01    0.00    0.00   40.93  107.98   12.12   28.64    0.00   12.29   11.54
 2017 176   227     0     1    34.1  106.5  105.4    1.1    2.46    3.21    4.01    4.64    4.90    4.99    4.87    4.98    0.39    0.43    0.06    0.02    0.01    0.01    0.00    0.00   41.12  108.04   12.27   28.71    0.00   12.41   12.61
 2017 177   228     0     1    34.1  105.4  104.3    1.2    2.52    3.04    3.86    4.46    4.82    4.99    4.87    4.97    0.41    0.45    0.06    0.03    0.01    0.01    0.00    0.00   41.33  108.12   12.40   28.77    0.00   12.56   13.71
 2017 178   229     0     1    34.1  104.4  103.2    1.2    2.55    2.88    3.70    4.27    4.66    5.05    4.86    4.97    0.43    0.47    0.06    0.03    0.01    0.01    0.00    0.00   41.55  108.22   12.51   28.84    0.00   12.70   14.77
 2017 179   230     0     1    34.1  103.4  102.1    1.3    2.56    2.73    3.54    4.08    4.51    5.10    4.85    4.96    0.45    0.49    0.06    0.03    0.01    0.01    0.00    0.00   41.77  108.33   12.59   28.91    0.00   12.85   15.89
 2017 180   231     0     1    34.1  102.2  101.0    1.3    2.62    2.56    3.37    3.93    4.43    5.10    4.85    4.96    0.39    0.50    0.07    0.03    0.01    0.01    0.00    0.00   41.98  108.49   12.66   28.98    0.00   13.00   17.13
 2017 181   232     0     1    34.1  100.6   99.4    1.2    1.89    2.50    3.26    3.73    4.31    5.09    4.84    4.95    0.35    0.51    0.07    0.03    0.01    0.01    0.00    0.00   42.18  108.64   12.71   29.04    0.00   13.14   18.81
 2017 182   233     0     1    34.1   98.7   97.4    1.3    1.79    2.40    3.03    3.40    4.10    5.09    4.84    4.94    0.37    0.53    0.07    0.03    0.01    0.01    0.00    0.00   42.32  108.70   12.77   29.09    0.00   13.24   20.75
 2017 183   234     0     1    34.1   96.6   95.3    1.3    1.79    2.24    2.75    3.02    3.80    5.08    4.88    4.94    0.40    0.55    0.07    0.03    0.01    0.01    0.00    0.00   42.48  108.76   12.84   29.13    0.00   13.35   22.90
 2017 184   235     0     1    34.1   94.6   93.2    1.4    1.70    2.04    2.47    2.72    3.55    5.04    4.93    4.93    0.42    0.56    0.07    0.03    0.01    0.01    0.00    0.00   42.67  108.85   12.89   29.18    0.00   13.48   25.00
 2017 185   236     0     1    34.1   92.2   90.8    1.4    1.50    1.77    2.16    2.42    3.30    5.00    4.96    4.93    0.44    0.57    0.07    0.03    0.01    0.01    0.00    0.00   42.88  108.97   12.93   29.24    0.00   13.64   27.52
 2017 186   237     0     1    34.1   88.9   87.5    1.4    1.17    1.40    1.76    2.06    3.02    4.92    4.96    4.93    0.46    0.57    0.07    0.03    0.01    0.01    0.00    0.00   43.14  109.12   12.95   29.32    0.00   13.82   31.00
 2017 187   238     0     1    34.1   85.4   84.0    1.4    0.88    1.01    1.34    1.70    2.70    4.84    4.96    4.92    0.47    0.56    0.07    0.03    0.01    0.01    0.00    0.00   43.41  109.29   12.97   29.39    0.00   14.02   34.67
 2017 188   239     0     1    34.1   81.6   80.2    1.4    0.58    0.64    0.96    1.35    2.37    4.69    4.96    4.92    0.49    0.55    0.07    0.03    0.01    0.01    0.00    0.00   43.71  109.48   12.98   29.47    0.00   14.24   38.62
 2017 189   240     0     1    34.1   77.9   76.5    1.4    0.50    0.37    0.63    1.00    2.02    4.46    4.96    4.92    0.52    0.54    0.07    0.03    0.01    0.01    0.00    0.00   44.00  109.67   12.99   29.55    0.00   14.46   42.53
 2017 190   241     0     1    34.1   74.9   73.7    1.2    0.38    0.44    0.42    0.74    1.71    4.19    4.95    4.91    0.53    0.42    0.07    0.03    0.01    0.01    0.00    0.00   44.33  110.03   12.99   29.63    0.00   14.70   45.82
 2017 191   242     0     1    34.1   72.1   70.9    1.2    0.32    0.40    0.28    0.56    1.46    3.88    4.95    4.91    0.53    0.36    0.06    0.03    0.01    0.01    0.00    0.00   44.66  110.36   12.99   29.71    0.00   14.95   48.88
 2017 192   243     0     1    34.1   69.6   68.5    1.1    0.21    0.38    0.29    0.43    1.24    3.54    4.95    4.91    0.53    0.32    0.06    0.02    0.01    0.01    0.00    0.00   44.98  110.66   13.00   29.79    0.00   15.19   51.61
 2017 193   244     0     1    34.1   67.3   66.1    1.2    0.23    0.34    0.26    0.33    1.05    3.18    4.95    4.91    0.55    0.36    0.06    0.02    0.01    0.01    0.00    0.00   45.19  110.76   13.00   29.84    0.00   15.36   54.07
 2017 194   245     0     1    34.1   65.3   64.1    1.2    0.25    0.31    0.25    0.26    0.90    2.84    4.95    4.90    0.57    0.40    0.07    0.02    0.01    0.01    0.00    0.00   45.41  110.85   13.00   29.89    0.00   15.52   56.18
 2017 195   246     0     1    34.1   63.7   62.4    1.3    0.19    0.26    0.28    0.28    0.76    2.54    4.95    4.90    0.57    0.43    0.07    0.02    0.01    0.01    0.00    0.00   45.64  110.96   13.01   29.94    0.00   15.70   57.99
 2017 196   247     0     1    34.1   62.2   60.9    1.3    0.21    0.26    0.25    0.26    0.65    2.27    4.94    4.90    0.59    0.47    0.07    0.02    0.01    0.01    0.00    0.00   45.83  111.04   13.01   29.98    0.00   15.85   59.62
 2017 197   248     0     1    34.1   61.0   59.6    1.4    0.24    0.26    0.25    0.25    0.56    2.03    4.94    4.90    0.60    0.50    0.07    0.02    0.01    0.01    0.00    0.00   46.04  111.12   13.02   30.03    0.00   16.01   61.00
 2017 198   249     0     1    34.1   59.9   58.5    1.4    0.22    0.27    0.26    0.26    0.48    1.81    4.94    4.90    0.59    0.53    0.07    0.02    0.01    0.01    0.00    0.00   46.24  111.22   13.03   30.08    0.00   16.16   62.24
 2017 199   250     0     1    34.1   58.9   57.4    1.5    0.24    0.26    0.25    0.25    0.41    1.61    4.94    4.90    0.60    0.55    0.08    0.02    0.01    0.01    0.00    0.00   46.42  111.29   13.03   30.12    0.00   16.30   63.39
 2017 200   251     0     1    34.1   58.0   56.5    1.5    0.27    0.27    0.25    0.25    0.35    1.44    4.94    4.90    0.60    0.57    0.08    0.02    0.01    0.01    0.00    0.00   46.60  111.38   13.04   30.16    0.00   16.44   64.38
 2017 201   252     0     1    34.1   57.2   55.7    1.5    0.28    0.27    0.25    0.25    0.30    1.29    4.94    4.90    0.59    0.58    0.08    0.02    0.01    0.01    0.00    0.00   46.78  111.47   13.05   30.20    0.00   16.58   65.29
 2017 202   253     0     1    34.1   56.5   55.0    1.5    0.14    0.21    0.24    0.27    0.34    1.15    4.94    4.90    0.57    0.57    0.08    0.02    0.01    0.01    0.00    0.00   46.98  111.59   13.06   30.25    0.00   16.73   66.15
 2017 203   254     0     1    34.1   56.0   54.4    1.6    0.15    0.23    0.24    0.26    0.30    1.03    4.94    4.90    0.58    0.59    0.08    0.03    0.01    0.01    0.00    0.00   47.17  111.66   13.07   30.29    0.00   16.87   66.85
 2017 204   255     0     1    34.1   55.5   53.9    1.6    0.08    0.17    0.21    0.24    0.26    0.97    4.95    4.89    0.60    0.62    0.09    0.03    0.01    0.01    0.00    0.00   47.36  111.74   13.08   30.34    0.00   17.02   67.48
 2017 205   256     0     1    34.1   55.0   53.3    1.7    0.11    0.19    0.21    0.23    0.25    0.86    4.94    4.89    0.61    0.64    0.09    0.03    0.01    0.01    0.00    0.00   47.55  111.81   13.09   30.38    0.00   17.17   68.10
 2017 206   257     0     1    34.1   54.0   52.3    1.7    0.14    0.21    0.21    0.23    0.25    0.75    4.70    5.02    0.63    0.65    0.09    0.03    0.01    0.01    0.00    0.00   47.76  111.90   13.10   30.43    0.00   17.33   69.19
 2017 207   258     0     1    34.1   52.9   51.2    1.7    0.18    0.24    0.21    0.23    0.24    0.66    4.36    5.20    0.62    0.64    0.09    0.03    0.02    0.01    0.00    0.00   47.99  112.02   13.11   30.49    0.00   17.50   70.47
 2017 208   259     0     1    34.7   51.3   49.6    1.7    0.23    0.28    0.21    0.23    0.24    0.57    4.03    5.24    0.60    0.62    0.09    0.03    0.02    0.01    0.00    0.00   48.22  112.15   13.12   30.54    0.00   17.68   71.74
 2017 209   260     0     1    34.7   50.1   48.5    1.6    0.21    0.29    0.23    0.24    0.24    0.51    3.84    5.24    0.57    0.59    0.09    0.03    0.02    0.01    0.00    0.00   48.45  112.30   13.13   30.60    0.00   17.85   73.09
 2017 210   261     0     1    35.7   47.9   46.3    1.7    0.24    0.27    0.23    0.24    0.24    0.45    3.51    5.16    0.58    0.61    0.10    0.04    0.02    0.01    0.01    0.00   48.64  112.38   13.15   30.64    0.00   18.00   74.33
 2017 211   262     0     1    36.7   45.9   44.2    1.7    0.27    0.27    0.23    0.24    0.24    0.40    3.21    5.09    0.58    0.61    0.10    0.04    0.02    0.01    0.01    0.00   48.83  112.48   13.16   30.69    0.00   18.14   75.51
 2017 212   263     0     1    37.6   44.0   42.4    1.6    0.29    0.28    0.23    0.24    0.24    0.35    2.95    5.01    0.56    0.60    0.10    0.04    0.02    0.01    0.01    0.00   49.03  112.59   13.17   30.74    0.00   18.29   76.65
 2017 213   264     0     1    38.3   42.4   40.8    1.6    0.30    0.28    0.24    0.23    0.24    0.32    2.71    4.94    0.55    0.58    0.10    0.04    0.02    0.01    0.01    0.00   49.23  112.72   13.18   30.79    0.00   18.45   77.73
 2017 214   265     0     1    38.9   40.9   39.3    1.6    0.31    0.29    0.24    0.23    0.23    0.28    2.50    4.88    0.53    0.56    0.10    0.04    0.02    0.01    0.01    0.00   49.46  112.87   13.19   30.84    0.00   18.62   78.75
 2017 215   266     0     1    39.4   39.6   38.1    1.5    0.32    0.29    0.24    0.24    0.23    0.26    2.32    4.82    0.51    0.55    0.10    0.04    0.02    0.01    0.01    0.00   49.69  113.04   13.20   30.90    0.00   18.79   79.71
 2017 216   267     0     1    39.9   38.5   37.1    1.4    0.42    0.30    0.25    0.24    0.23    0.25    2.15    4.76    0.42    0.53    0.09    0.04    0.02    0.01    0.01    0.00   49.93  113.28   13.21   30.96    0.00   18.98   80.51
 2017 217   268     0     1    39.9   37.9   36.5    1.4    0.40    0.31    0.26    0.24    0.23    0.26    2.03    4.76    0.35    0.52    0.09    0.04    0.02    0.01    0.01    0.00   50.19  113.52   13.21   31.02    0.00   19.17   81.32
 2017 218   269     0     1    39.9   37.3   36.0    1.3    0.38    0.32    0.26    0.24    0.24    0.26    1.92    4.76    0.30    0.51    0.09    0.03    0.01    0.01    0.01    0.00   50.47  113.77   13.22   31.09    0.00   19.38   82.12
 2017 219   270     0     1    40.2   36.4   35.1    1.3    0.35    0.32    0.26    0.25    0.24    0.25    1.79    4.72    0.27    0.51    0.09    0.03    0.01    0.01    0.01    0.00   50.73  113.99   13.22   31.15    0.00   19.58   82.88
 2017 220   271     0     1    40.5   35.6   34.5    1.1    0.34    0.40    0.26    0.25    0.24    0.25    1.66    4.68    0.24    0.42    0.08    0.03    0.01    0.01    0.01    0.00   50.98  114.32   13.23   31.22    0.00   19.77   83.58
 2017 221   272     0     1    40.7   34.8   33.8    1.0    0.33    0.36    0.26    0.25    0.24    0.25    1.56    4.64    0.23    0.37    0.08    0.03    0.01    0.01    0.01    0.00   51.22  114.60   13.23   31.27    0.00   19.94   84.34
 2017 222   273     0     1    40.8   34.2   33.2    1.0    0.32    0.34    0.26    0.25    0.24    0.26    1.47    4.62    0.22    0.33    0.08    0.03    0.01    0.01    0.01    0.00   51.43  114.83   13.23   31.33    0.00   20.10   85.02
 2017 223   274     0     1    40.9   33.6   32.7    0.9    0.32    0.33    0.26    0.25    0.24    0.26    1.38    4.61    0.21    0.30    0.07    0.03    0.01    0.01    0.01    0.00   51.64  115.04   13.23   31.38    0.00   20.26   85.66
 2017 224   275     0     1    40.9   33.2   32.3    0.9    0.32    0.33    0.26    0.25    0.24    0.26    1.31    4.59    0.20    0.28    0.07    0.03    0.01    0.01    0.01    0.00   51.86  115.25   13.24   31.43    0.00   20.42   86.26
 2017 225   276     0     1    40.9   32.8   31.9    0.8    0.32    0.32    0.26    0.25    0.24    0.26    1.25    4.58    0.20    0.26    0.07    0.03    0.01    0.01    0.01    0.00   52.08  115.45   13.24   31.49    0.00   20.59   86.85
 2017 226   277     0     1    40.9   32.4   31.6    0.8    0.32    0.32    0.26    0.25    0.24    0.25    1.18    4.58    0.19    0.24    0.07    0.03    0.01    0.01    0.01    0.00   52.30  115.65   13.24   31.54    0.00   20.76   87.41
 2017 227   278     0     1    40.9   32.0   31.3    0.7    0.32    0.31    0.27    0.25    0.25    0.26    1.12    4.57    0.19    0.23    0.06    0.03    0.01    0.01    0.01    0.00   52.51  115.86   13.24   31.59    0.00   20.92   87.92
 2017 228   279     0     1    40.9   31.6   30.9    0.7    0.32    0.31    0.26    0.25    0.25    0.26    1.06    4.56    0.19    0.22    0.05    0.03    0.01    0.01    0.01    0.00   52.72  116.05   13.24   31.64    0.00   21.07   88.44
 2017 229   280     0     1    40.9   31.3   30.6    0.7    0.32    0.31    0.26    0.25    0.25    0.26    1.01    4.55    0.18    0.21    0.04    0.03    0.01    0.01    0.01    0.00   52.92  116.23   13.24   31.70    0.00   21.23   88.93
 2017 230   281     0     1    40.9   31.0   30.3    0.6    0.20    0.33    0.28    0.26    0.25    0.26    0.96    4.53    0.18    0.20    0.04    0.02    0.01    0.01    0.01    0.00   53.13  116.42   13.24   31.75    0.00   21.38   89.41
 2017 231   282     0     1    40.9   30.7   30.0    0.7    0.22    0.30    0.25    0.26    0.25    0.25    0.91    4.53    0.21    0.23    0.04    0.02    0.01    0.01    0.01    0.00   53.31  116.49   13.24   31.79    0.00   21.52   89.84
 2017 232   283     0     1    40.9   30.5   29.7    0.8    0.24    0.26    0.26    0.26    0.25    0.25    0.86    4.53    0.24    0.26    0.04    0.02    0.01    0.01    0.01    0.00   53.52  116.58   13.24   31.84    0.00   21.67   90.21
 2017 233   284     0     1    40.9   30.3   29.5    0.8    0.27    0.26    0.26    0.26    0.25    0.25    0.82    4.52    0.27    0.29    0.05    0.02    0.01    0.01    0.01    0.00   53.74  116.68   13.24   31.90    0.00   21.84   90.51
 2017 234   285     0     1    40.9   30.2   29.3    0.9    0.25    0.29    0.26    0.26    0.25    0.25    0.78    4.52    0.30    0.32    0.05    0.02    0.01    0.01    0.01    0.00   53.97  116.80   13.24   31.96    0.00   22.02   90.83
 2017 235   286     0     1    40.9   30.0   29.1    1.0    0.24    0.27    0.27    0.26    0.25    0.25    0.74    4.52    0.33    0.35    0.05    0.02    0.01    0.01    0.00    0.00   54.17  116.89   13.25   32.01    0.00   22.16   91.14
 2017 236   287     0     1    40.9   29.9   28.9    1.0    0.26    0.25    0.26    0.26    0.25    0.25    0.70    4.52    0.35    0.38    0.05    0.01    0.01    0.01    0.00    0.00   54.36  116.97   13.25   32.05    0.00   22.30   91.43
 2017 237   288     0     1    40.9   29.8   28.7    1.1    0.28    0.26    0.26    0.26    0.25    0.25    0.66    4.51    0.37    0.40    0.05    0.01    0.01    0.01    0.00    0.00   54.55  117.07   13.26   32.10    0.00   22.45   91.68
 2017 238   289     0     1    40.9   29.6   28.5    1.1    0.28    0.26    0.26    0.26    0.25    0.25    0.63    4.51    0.39    0.43    0.05    0.01    0.01    0.01    0.00    0.00   54.74  117.17   13.26   32.15    0.00   22.59   91.94
 2017 239   290     0     1    40.9   29.5   28.4    1.1    0.29    0.27    0.26    0.26    0.25    0.25    0.60    4.51    0.40    0.44    0.05    0.01    0.01    0.01    0.00    0.00   54.94  117.28   13.26   32.20    0.00   22.74   92.21
 2017 240   291     0     1    40.9   29.4   28.2    1.2    0.29    0.27    0.26    0.25    0.25    0.25    0.57    4.51    0.41    0.46    0.05    0.01    0.01    0.01    0.00    0.00   55.13  117.40   13.27   32.24    0.00   22.88   92.47
 2017 241   292     0     1    40.9   29.3   28.1    1.2    0.24    0.29    0.26    0.25    0.25    0.25    0.54    4.50    0.43    0.47    0.05    0.01    0.01    0.01    0.00    0.00   55.30  117.51   13.27   32.29    0.00   23.01   92.73
 2017 242   293     0     1    40.9   29.1   27.9    1.2    0.24    0.27    0.27    0.25    0.25    0.25    0.51    4.50    0.44    0.49    0.04    0.01    0.01    0.01    0.00    0.00   55.45  117.60   13.27   32.32    0.00   23.12   92.97
 2017 243   294     0     1    40.9   29.0   27.8    1.2    0.26    0.26    0.25    0.26    0.25    0.25    0.49    4.50    0.46    0.50    0.04    0.01    0.01    0.01    0.00    0.00   55.59  117.67   13.28   32.36    0.00   23.23   93.20
 2017 244   295     0     1    40.9   28.9   27.7    1.3    0.28    0.26    0.26    0.25    0.25    0.25    0.47    4.49    0.47    0.52    0.05    0.01    0.01    0.01    0.00    0.00   55.75  117.75   13.28   32.40    0.00   23.35   93.39
 2017 245   296     0     1    40.9   28.8   27.6    1.3    0.28    0.27    0.26    0.26    0.25    0.25    0.44    4.49    0.48    0.53    0.04    0.01    0.01    0.01    0.00    0.00   55.92  117.86   13.28   32.44    0.00   23.48   93.60
 2017 246   297     0     1    40.9   28.7   27.5    1.3    0.29    0.27    0.26    0.25    0.25    0.25    0.42    4.49    0.49    0.53    0.04    0.01    0.01    0.01    0.00    0.00   56.09  117.98   13.29   32.49    0.00   23.61   93.83
 2017 247   298     0     1    40.9   28.6   27.4    1.3    0.30    0.27    0.26    0.25    0.25    0.25    0.40    4.49    0.49    0.53    0.04    0.01    0.01    0.01    0.00    0.00   56.27  118.10   13.29   32.53    0.00   23.74   94.06
 2017 248   299     0     1    40.9   28.5   27.3    1.3    0.30    0.28    0.26    0.25    0.25    0.25    0.39    4.48    0.49    0.52    0.03    0.01    0.01    0.01    0.00    0.00   56.44  118.22   13.29   32.57    0.00   23.86   94.30
 2017 249   300     0     1    40.9   28.4   27.2    1.2    0.38    0.28    0.26    0.25    0.25    0.25    0.37    4.48    0.42    0.52    0.03    0.01    0.01    0.01    0.00    0.00   56.62  118.41   13.29   32.62    0.00   24.00   94.53
 2017 250   301     0     1    40.9   28.3   27.1    1.2    0.36    0.29    0.26    0.25    0.25    0.25    0.35    4.47    0.37    0.51    0.03    0.01    0.01    0.01    0.00    0.00   56.81  118.58   13.29   32.67    0.00   24.14   94.82
 2017 251   302     0     1    40.9   28.1   27.0    1.1    0.34    0.29    0.26    0.25    0.25    0.25    0.34    4.47    0.32    0.51    0.03    0.01    0.01    0.01    0.00    0.00   56.99  118.75   13.29   32.71    0.00   24.27   95.09
 2017 252   303     0     1    40.9   28.0   26.9    1.1    0.33    0.29    0.26    0.25    0.25    0.25    0.33    4.47    0.29    0.50    0.03    0.01    0.01    0.01    0.00    0.00   57.16  118.90   13.29   32.76    0.00   24.41   95.34
 2017 253   304     0     1    40.9   27.9   26.8    1.1    0.33    0.29    0.26    0.25    0.25    0.25    0.31    4.46    0.27    0.50    0.03    0.01    0.01    0.01    0.00    0.00   57.33  119.06   13.29   32.80    0.00   24.54   95.58
 2017 254   305     0     1    40.9   27.8   26.8    1.0    0.32    0.29    0.26    0.25    0.25    0.25    0.31    4.45    0.25    0.50    0.03    0.01    0.01    0.01    0.00    0.00   57.50  119.20   13.29   32.84    0.00   24.66   95.81
 2017 255   306     0     1    40.9   27.7   26.7    1.0    0.31    0.34    0.26    0.25    0.25    0.25    0.31    4.43    0.23    0.44    0.03    0.01    0.01    0.01    0.00    0.00   57.65  119.40   13.29   32.88    0.00   24.77   96.03
 2017 256   307     0     1    40.9   27.5   26.6    0.9    0.30    0.33    0.26    0.25    0.25    0.25    0.29    4.44    0.22    0.40    0.03    0.01    0.01    0.01    0.00    0.00   57.80  119.59   13.29   32.92    0.00   24.89   96.32
 2017 257   308     0     1    40.9   27.4   26.6    0.8    0.30    0.33    0.26    0.25    0.25    0.25    0.28    4.44    0.20    0.36    0.03    0.01    0.01    0.01    0.00    0.00   57.96  119.78   13.29   32.96    0.00   25.00   96.58
 2017 258   309     0     1    40.9   27.3   26.5    0.7    0.30    0.33    0.26    0.25    0.25    0.25    0.26    4.44    0.18    0.32    0.03    0.01    0.01    0.01    0.00    0.00   58.11  119.96   13.29   32.99    0.00   25.12   96.83
 2017 259   310     0     1    40.9   27.1   26.5    0.7    0.29    0.32    0.26    0.25    0.25    0.25    0.25    4.44    0.16    0.29    0.03    0.01    0.01    0.01    0.00    0.00   58.27  120.13   13.29   33.03    0.00   25.24   97.05
 2017 260   311     0     1    40.9   27.1   26.5    0.6    0.29    0.32    0.26    0.25    0.25    0.25    0.25    4.44    0.14    0.27    0.03    0.01    0.01    0.01    0.00    0.00   58.43  120.30   13.29   33.07    0.00   25.36   97.22
 2017 261   312     0     1    40.9   27.1   26.5    0.6    0.29    0.32    0.26    0.25    0.25    0.25    0.25    4.44    0.12    0.25    0.03    0.01    0.01    0.01    0.00    0.00   58.61  120.48   13.29   33.12    0.00   25.49   97.38
 2017 262   313     0     1    40.9   27.0   26.5    0.5    0.29    0.32    0.26    0.25    0.25    0.25    0.25    4.44    0.10    0.23    0.03    0.01    0.01    0.01    0.00    0.00   58.79  120.66   13.29   33.16    0.00   25.63   97.55
 2017 263   314     0     1    40.9   27.0   26.5    0.5    0.32    0.32    0.26    0.25    0.25    0.25    0.25    4.45    0.08    0.21    0.03    0.01    0.01    0.01    0.00    0.00   58.97  120.83   13.29   33.21    0.00   25.76   97.70
 2017 264   315     0     1    40.9   27.0   26.5    0.5    0.28    0.31    0.26    0.25    0.25    0.25    0.25    4.45    0.09    0.20    0.03    0.01    0.01    0.01    0.00    0.00   59.17  121.00   13.29   33.26    0.00   25.91   97.89
 2017 265   316     0     1    40.9   27.0   26.5    0.5    0.28    0.31    0.26    0.25    0.25    0.25    0.25    4.45    0.10    0.19    0.03    0.01    0.01    0.01    0.00    0.00   59.37  121.16   13.29   33.31    0.00   26.06   98.05
 2017 266   317     0     1    40.9   27.0   26.5    0.5    0.29    0.31    0.26    0.25    0.25    0.25    0.25    4.45    0.09    0.18    0.03    0.01    0.01    0.01    0.00    0.00   59.57  121.33   13.29   33.36    0.00   26.21   98.20
 2017 267   318     0     1    40.9   27.0   26.5    0.5    0.29    0.31    0.26    0.25    0.25    0.25    0.25    4.45    0.09    0.17    0.03    0.01    0.01    0.01    0.00    0.00   59.77  121.49   13.29   33.41    0.00   26.36   98.36
 2017 268   319     0     1    40.9   27.0   26.5    0.4    0.29    0.31    0.26    0.25    0.25    0.25    0.25    4.45    0.08    0.16    0.02    0.01    0.01    0.01    0.00    0.00   59.98  121.67   13.29   33.46    0.00   26.52   98.52
 2017 269   320     0     1    40.9   27.0   26.5    0.4    0.28    0.31    0.26    0.25    0.25    0.25    0.25    4.45    0.06    0.15    0.02    0.01    0.01    0.00    0.00    0.00   60.19  121.85   13.29   33.51    0.00   26.68   98.69
 2017 270   321     0     1    40.9   27.0   26.6    0.4    0.31    0.31    0.26    0.26    0.25    0.25    0.25    4.46    0.05    0.15    0.02    0.01    0.01    0.00    0.00    0.00   60.41  122.04   13.29   33.56    0.00   26.85   98.84
 2017 271   322     0     1    40.9   27.0   26.6    0.4    0.34    0.31    0.26    0.25    0.25    0.25    0.25    4.46    0.04    0.14    0.02    0.01    0.01    0.00    0.00    0.00   60.62  122.21   13.29   33.61    0.00   27.01   98.99
 2017 272   323     0     1    40.9   27.0   26.6    0.4    0.36    0.31    0.26    0.25    0.25    0.25    0.25    4.46    0.04    0.14    0.02    0.01    0.01    0.00    0.00    0.00   60.82  122.37   13.29   33.66    0.00   27.16   99.14
 2017 273   324     0     1    40.9   27.0   26.6    0.4    0.38    0.30    0.26    0.25    0.25    0.25    0.25    4.46    0.03    0.14    0.02    0.01    0.01    0.00    0.00    0.00   60.99  122.51   13.29   33.70    0.00   27.29   99.28
 2017 274   325     0     1    40.9   27.0   26.6    0.4    0.39    0.29    0.26    0.25    0.25    0.25    0.25    4.46    0.03    0.14    0.02    0.01    0.01    0.01    0.00    0.00   61.14  122.62   13.29   33.74    0.00   27.40   99.39
 2017 275   326     0     1    40.9   27.0   26.6    0.4    0.40    0.28    0.26    0.25    0.25    0.25    0.25    4.46    0.02    0.14    0.02    0.01    0.01    0.01    0.00    0.00   61.27  122.72   13.29   33.77    0.00   27.50   99.49
 2017 276   327     0     1    40.9   27.0   26.6    0.4    0.41    0.28    0.26    0.25    0.25    0.25    0.25    4.47    0.02    0.14    0.02    0.01    0.01    0.01    0.00    0.00   61.38  122.81   13.29   33.80    0.00   27.59   99.58
 2017 277   328     0     1    40.9   27.0   26.7    0.4    0.42    0.30    0.26    0.26    0.25    0.25    0.25    4.47    0.02    0.14    0.02    0.01    0.01    0.01    0.00    0.00   61.48  122.88   13.29   33.82    0.00   27.66   99.58
 2017 278   329     0     1    40.9   27.1   26.8    0.4    0.42    0.33    0.26    0.26    0.26    0.25    0.25    4.47    0.02    0.14    0.02    0.01    0.01    0.01    0.00    0.00   61.59  122.97   13.29   33.84    0.00   27.74   99.58
 2017 279   330     0     1    40.9   27.2   26.8    0.4    0.43    0.36    0.27    0.26    0.26    0.26    0.26    4.47    0.02    0.13    0.02    0.01    0.01    0.01    0.00    0.00   61.70  123.05   13.29   33.87    0.00   27.83   99.58
 2017 280   331     0     1    40.9   27.3   26.9    0.4    0.44    0.39    0.28    0.26    0.26    0.26    0.26    4.47    0.02    0.13    0.02    0.01    0.01    0.01    0.00    0.00   61.81  123.15   13.29   33.90    0.00   27.91   99.58
